stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2215,5571,"OLD COURTHOUSE RD @ BYRD RD",,38.913736,-77.231416,,,,,,0
2216,5572,"OLD COURTHOUSE RD @ LORD FAIRFAX RD",,38.912633,-77.229238,,,,,,0
2217,5573,"OLD COURTHOUSE RD @ LORD FAIRFAX RD",,38.912956,-77.229370,,,,,,0
2218,5574,"OLD COURTHOUSE RD @ BYRD RD",,38.913634,-77.230718,,,,,,0
2219,5575,"OLD COURTHOUSE RD @ HULL RD",,38.914432,-77.232540,,,,,,0
2220,5576,"OLD COURTHOUSE RD @ CHAIN BRIDGE RD",,38.915757,-77.236224,,,,,,0
2221,5577,"CHAIN BRIDGE RD @ OLD COURTHOUSE RD",,38.916218,-77.238315,,,,,,0
2222,559,"RICHMOND HWY @ POHICK RD",,38.708359,-77.160334,,,,,,0
2225,5614,"CENTREVILLE RD @ ARMFIELD FARM DR",,38.905200,-77.423260,,,,,,0
2227,5629,"CENTREVILLE RD @ ARMFIELD FARM DR",,38.904405,-77.423926,,,,,,0
2228,5630,"CENTREVILLE RD @ RENOIR TER",,38.898844,-77.427634,,,,,,0
2229,5646,"LEWINSVILLE RD @ ARTNAUMAN CT",,38.940010,-77.228439,,,,,,1
2230,5647,"LEWINSVILLE RD @ FALSTAFF RD",,38.941112,-77.224792,,,,,,1
2231,5648,"LEWINSVILLE RD @ WINTER HUNT RD",,38.941619,-77.223039,,,,,,0
2232,5649,"LEWINSVILLE RD @ MEADOW GREEN LA",,38.941667,-77.220991,,,,,,0
2233,5650,"LEWINSVILLE RD @ TITANIA LA",,38.941045,-77.218904,,,,,,0
2234,5651,"LEWINSVILLE RD @ OLD FALLS RD",,38.940742,-77.215813,,,,,,1
2235,5652,"LEWINSVILLE RD @ FALSTAFF RD",,38.938877,-77.212589,,,,,,1
2236,5653,"LEWINSVILLE RD @ SNOW MEADOW LA",,38.937023,-77.210374,,,,,,0
2237,5654,"LEWINSVILLE RD @ SCOTTS RUN RD",,38.934991,-77.206199,,,,,,0
2238,5655,"LEWINSVILLE RD @ TYSONS MCLEAN DR",,38.933638,-77.202604,,,,,,0
